Index,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10,RSSI11,RSSI12,RSSI13,RSSI14,RSSI15,RSSI16,RSSI17,RSSI18,X,Y,Z,Direction
1,100,100,100,100,100,100,100,100,100,100,-62,100,-60,100,-76,-75,-77,100,-1.2,4.8,0,East
1,100,100,100,100,100,100,100,100,100,100,-61,-85,-65,100,100,-77,-73,-68,-1.2,4.8,0,South
1,100,100,100,100,100,100,100,100,-73,-64,100,100,-88,-81,-84,-71,100,100,-1.2,4.8,0,North
1,100,100,100,100,100,100,100,100,100,100,-72,-86,-76,100,-86,-76,-68,-74,-1.2,4.8,0,West
1,100,100,100,100,100,100,100,100,-72,-68,100,-72,-80,100,-80,-86,100,100,-1.2,4.8,0,West
1,100,100,100,100,100,100,100,100,-74,-68,-85,-62,100,100,-86,-79,100,100,-1.2,4.8,0,North
1,100,100,100,100,100,100,-86,100,100,-83,-56,100,-72,100,-80,-77,-76,-63,-1.2,4.8,0,South
1,100,100,100,-79,100,100,100,100,-69,-70,100,100,-84,-79,100,-77,100,100,-1.2,4.8,0,East
2,100,100,100,100,100,100,100,100,100,100,-87,100,-81,100,-85,-80,-58,-64,-1.2,6,0,North
2,100,100,100,100,100,100,100,100,100,100,-77,-84,-86,100,-80,-80,-66,-67,-1.2,6,0,East
2,100,100,100,100,100,100,-86,100,100,-83,-56,100,-72,100,-80,-77,-76,-63,-1.2,6,0,South
2,100,100,100,100,100,-86,100,100,100,100,-76,100,-86,100,-86,-86,-57,-69,-1.2,6,0,West
2,100,100,100,100,100,100,100,100,100,100,-73,100,-80,100,-75,-80,-68,100,-1.2,6,0,East
2,100,100,100,100,100,100,100,100,100,100,-77,100,100,100,-83,-87,-58,-67,-1.2,6,0,North
2,100,100,100,100,100,100,100,100,100,100,-76,100,-86,100,100,100,-56,-80,-1.2,6,0,West
2,100,100,100,100,100,100,100,100,100,100,-74,100,-78,100,-75,100,-53,-72,-1.2,6,0,South
3,100,100,100,100,100,100,100,100,100,100,-71,100,-75,100,100,100,-67,-77,-1.2,7.2,0,North
3,100,100,100,100,100,100,100,100,100,100,-76,100,-86,100,100,100,-56,-80,-1.2,7.2,0,West
3,100,100,100,100,100,-86,100,100,100,100,-76,100,-86,100,-86,-86,-57,-69,-1.2,7.2,0,West
3,100,100,100,100,100,100,100,100,100,100,-67,100,-77,100,100,-81,-66,100,-1.2,7.2,0,East
3,100,100,100,100,100,100,100,100,100,100,-68,-81,-75,100,-80,-87,-72,-72,-1.2,7.2,0,East
3,100,100,100,100,100,100,100,100,100,100,-70,100,-76,100,100,-81,-69,-79,-1.2,7.2,0,North
